Sample_1,Sample_2,Joint_Similarity,Common_Substance,Category
SAM_008,SAM_033,0.7357500432703732,Phenacetin,Adulterant
SAM_012,SAM_086,0.7307099251878205,Meconine,Precursor
SAM_012,SAM_086,0.7307099251878205,Diacetamate,Unknown
SAM_012,SAM_086,0.7307099251878205,Ecgonidine methyl ester,Precursor
SAM_012,SAM_086,0.7307099251878205,Caffeine,Adulterant
SAM_012,SAM_086,0.7307099251878205,Cocaine,Active
SAM_012,SAM_086,0.7307099251878205,Acetylcodeine,Precursor
SAM_012,SAM_086,0.7307099251878205,Heroin,Active
SAM_012,SAM_086,0.7307099251878205,Noscapine,Precursor
SAM_008,SAM_049,0.7237275824836304,Meconine,Precursor
SAM_008,SAM_049,0.7237275824836304,Caffeine,Adulterant
SAM_008,SAM_049,0.7237275824836304,Cocaine,Active
SAM_008,SAM_049,0.7237275824836304,Acetylcodeine,Precursor
SAM_008,SAM_049,0.7237275824836304,Phenacetin,Adulterant
SAM_070,SAM_076,0.7214048981995614,Papaverine,Precursor
SAM_070,SAM_076,0.7214048981995614,Acetaminophen,Adulterant
SAM_070,SAM_076,0.7214048981995614,Cocaine,Active
SAM_070,SAM_076,0.7214048981995614,Diacetamate,Unknown
SAM_012,SAM_033,0.708446933499492,Meconine,Precursor
SAM_012,SAM_033,0.708446933499492,Diacetamate,Unknown
SAM_012,SAM_033,0.708446933499492,Caffeine,Adulterant
SAM_012,SAM_033,0.708446933499492,Cocaine,Active
SAM_012,SAM_033,0.708446933499492,Acetylcodeine,Precursor
SAM_012,SAM_033,0.708446933499492,Phenacetin,Adulterant
SAM_059,SAM_088,0.7070025420161465,Papaverine,Precursor
SAM_059,SAM_088,0.7070025420161465,Meconine,Precursor
SAM_059,SAM_088,0.7070025420161465,Ecgonidine methyl ester,Precursor
SAM_059,SAM_088,0.7070025420161465,Caffeine,Adulterant
SAM_059,SAM_088,0.7070025420161465,Acetylcodeine,Precursor
SAM_059,SAM_088,0.7070025420161465,Phenacetin,Adulterant
SAM_001,SAM_059,0.7060712048881777,Papaverine,Precursor
SAM_001,SAM_059,0.7060712048881777,Meconine,Precursor
SAM_001,SAM_059,0.7060712048881777,Ecgonidine methyl ester,Precursor
SAM_001,SAM_059,0.7060712048881777,Caffeine,Adulterant
SAM_001,SAM_059,0.7060712048881777,6-Monoacetylmorphine,Precursor
SAM_001,SAM_059,0.7060712048881777,Acetylcodeine,Precursor
SAM_001,SAM_059,0.7060712048881777,Heroin,Active
SAM_049,SAM_081,0.7051997151157129,Caffeine,Adulterant
SAM_049,SAM_081,0.7051997151157129,Cocaine,Active
SAM_049,SAM_081,0.7051997151157129,Acetylcodeine,Precursor
SAM_049,SAM_081,0.7051997151157129,Heroin,Active
SAM_049,SAM_081,0.7051997151157129,Phenacetin,Adulterant
SAM_016,SAM_049,0.7049216259847151,Meconine,Precursor
SAM_016,SAM_049,0.7049216259847151,Caffeine,Adulterant
SAM_016,SAM_049,0.7049216259847151,Cocaine,Active
SAM_016,SAM_049,0.7049216259847151,Acetylcodeine,Precursor
SAM_016,SAM_049,0.7049216259847151,Phenacetin,Adulterant
SAM_044,SAM_096,0.704494124078471,Meconine,Precursor
SAM_044,SAM_096,0.704494124078471,Acetaminophen,Adulterant
SAM_044,SAM_096,0.704494124078471,Cocaine,Active
SAM_044,SAM_096,0.704494124078471,Heroin,Active
SAM_027,SAM_033,0.7033271168917533,Meconine,Precursor
SAM_027,SAM_033,0.7033271168917533,Caffeine,Adulterant
SAM_027,SAM_033,0.7033271168917533,Cocaine,Active
SAM_027,SAM_033,0.7033271168917533,Acetylcodeine,Precursor
SAM_027,SAM_033,0.7033271168917533,Hydrocotarnine,Precursor
SAM_027,SAM_033,0.7033271168917533,Phenacetin,Adulterant
SAM_027,SAM_049,0.6989594936100574,Meconine,Precursor
SAM_027,SAM_049,0.6989594936100574,Caffeine,Adulterant
SAM_027,SAM_049,0.6989594936100574,Cocaine,Active
SAM_027,SAM_049,0.6989594936100574,Acetylcodeine,Precursor
SAM_027,SAM_049,0.6989594936100574,Phenacetin,Adulterant
SAM_033,SAM_049,0.6978970300967436,Meconine,Precursor
SAM_033,SAM_049,0.6978970300967436,Caffeine,Adulterant
SAM_033,SAM_049,0.6978970300967436,Cocaine,Active
SAM_033,SAM_049,0.6978970300967436,Acetylcodeine,Precursor
SAM_033,SAM_049,0.6978970300967436,Phenacetin,Adulterant
SAM_051,SAM_069,0.6945686002469256,Meconine,Precursor
SAM_051,SAM_069,0.6945686002469256,Ecgonidine methyl ester,Precursor
SAM_051,SAM_069,0.6945686002469256,Heroin,Active
SAM_051,SAM_069,0.6945686002469256,Phenacetin,Adulterant
SAM_051,SAM_069,0.6945686002469256,Acetaminophen,Adulterant
SAM_008,SAM_012,0.6834915071791735,Meconine,Precursor
SAM_008,SAM_012,0.6834915071791735,Caffeine,Adulterant
SAM_008,SAM_012,0.6834915071791735,Cocaine,Active
SAM_008,SAM_012,0.6834915071791735,Acetylcodeine,Precursor
SAM_008,SAM_012,0.6834915071791735,Noscapine,Precursor
SAM_008,SAM_012,0.6834915071791735,Phenacetin,Adulterant
SAM_017,SAM_096,0.6833898580990722,Meconine,Precursor
SAM_017,SAM_096,0.6833898580990722,Caffeine,Adulterant
SAM_017,SAM_096,0.6833898580990722,Cocaine,Active
SAM_017,SAM_096,0.6833898580990722,Noscapine,Precursor
SAM_017,SAM_096,0.6833898580990722,Heroin,Active
SAM_017,SAM_096,0.6833898580990722,Acetylcodeine,Precursor
SAM_017,SAM_096,0.6833898580990722,Acetaminophen,Adulterant
SAM_024,SAM_056,0.6824060701076802,Ecgonine methyl ester,Precursor
SAM_024,SAM_056,0.6824060701076802,Papaverine,Precursor
SAM_024,SAM_056,0.6824060701076802,Caffeine,Adulterant
SAM_024,SAM_056,0.6824060701076802,Acetylthebaol,Precursor
SAM_005,SAM_089,0.6817444610735138,Papaverine,Precursor
SAM_005,SAM_089,0.6817444610735138,Meconine,Precursor
SAM_005,SAM_089,0.6817444610735138,Morphine,Active
SAM_005,SAM_089,0.6817444610735138,Ecgonine methyl ester,Precursor
SAM_005,SAM_089,0.6817444610735138,Ecgonidine methyl ester,Precursor
SAM_005,SAM_089,0.6817444610735138,6-Monoacetylmorphine,Precursor
SAM_005,SAM_089,0.6817444610735138,Hydrocotarnine,Precursor
SAM_005,SAM_089,0.6817444610735138,Phenacetin,Adulterant
SAM_074,SAM_097,0.6806412064440651,Noscapine,Precursor
SAM_074,SAM_097,0.6806412064440651,Heroin,Active
SAM_074,SAM_097,0.6806412064440651,Caffeine,Adulterant
SAM_074,SAM_097,0.6806412064440651,Cocaine,Active
SAM_027,SAM_073,0.6794322585720024,Phenetidine,Adulterant
SAM_027,SAM_073,0.6794322585720024,Meconine,Precursor
SAM_027,SAM_073,0.6794322585720024,Caffeine,Adulterant
SAM_027,SAM_073,0.6794322585720024,Cocaine,Active
SAM_027,SAM_073,0.6794322585720024,Acetylcodeine,Precursor
SAM_027,SAM_073,0.6794322585720024,Hydrocotarnine,Precursor
SAM_027,SAM_073,0.6794322585720024,Phenacetin,Adulterant
SAM_027,SAM_073,0.6794322585720024,Acetaminophen,Adulterant
SAM_045,SAM_062,0.6772307681199161,Tetramisole or levamisole,Adulterant
SAM_045,SAM_062,0.6772307681199161,Caffeine,Adulterant
SAM_045,SAM_062,0.6772307681199161,Heroin,Active
SAM_045,SAM_062,0.6772307681199161,Phenacetin,Adulterant
SAM_045,SAM_062,0.6772307681199161,Triacetin,Unknown
SAM_052,SAM_096,0.6771944422429359,Meconine,Precursor
SAM_052,SAM_096,0.6771944422429359,Cocaine,Active
SAM_052,SAM_096,0.6771944422429359,Noscapine,Precursor
SAM_052,SAM_096,0.6771944422429359,Acetylcodeine,Precursor
SAM_052,SAM_096,0.6771944422429359,Heroin,Active
SAM_081,SAM_097,0.6766453838659521,Diacetamate,Unknown
SAM_081,SAM_097,0.6766453838659521,Caffeine,Adulterant
SAM_081,SAM_097,0.6766453838659521,Cocaine,Active
SAM_081,SAM_097,0.6766453838659521,Heroin,Active
SAM_081,SAM_097,0.6766453838659521,Phenacetin,Adulterant
SAM_021,SAM_044,0.6744084485989909,Meconine,Precursor
SAM_021,SAM_044,0.6744084485989909,Acetaminophen,Adulterant
SAM_021,SAM_044,0.6744084485989909,Cocaine,Active
SAM_008,SAM_052,0.6714381893638994,Meconine,Precursor
SAM_008,SAM_052,0.6714381893638994,Cocaine,Active
SAM_008,SAM_052,0.6714381893638994,Acetylcodeine,Precursor
SAM_008,SAM_052,0.6714381893638994,Noscapine,Precursor
SAM_008,SAM_052,0.6714381893638994,Phenacetin,Adulterant
SAM_022,SAM_030,0.6696946448025626,Cocaine,Active
SAM_022,SAM_030,0.6696946448025626,6-Monoacetylmorphine,Precursor
SAM_022,SAM_030,0.6696946448025626,Phenacetin,Adulterant
SAM_050,SAM_054,0.6692627666907565,Meconine,Precursor
SAM_050,SAM_054,0.6692627666907565,Ecgonine methyl ester,Precursor
SAM_050,SAM_054,0.6692627666907565,Ecgonidine methyl ester,Precursor
SAM_050,SAM_054,0.6692627666907565,Heroin,Active
SAM_050,SAM_054,0.6692627666907565,Phenacetin,Adulterant
SAM_050,SAM_054,0.6692627666907565,Triacetin,Unknown
SAM_074,SAM_096,0.6686655888426978,Caffeine,Adulterant
SAM_074,SAM_096,0.6686655888426978,Cocaine,Active
SAM_074,SAM_096,0.6686655888426978,Noscapine,Precursor
SAM_074,SAM_096,0.6686655888426978,Heroin,Active
SAM_074,SAM_096,0.6686655888426978,Acetaminophen,Adulterant
SAM_032,SAM_085,0.6682995923774377,Noscapine,Precursor
SAM_032,SAM_085,0.6682995923774377,Hydrocotarnine,Precursor
SAM_032,SAM_085,0.6682995923774377,Tetramisole or levamisole,Adulterant
SAM_012,SAM_088,0.667744599746565,Meconine,Precursor
SAM_012,SAM_088,0.667744599746565,Ecgonidine methyl ester,Precursor
SAM_012,SAM_088,0.667744599746565,Caffeine,Adulterant
SAM_012,SAM_088,0.667744599746565,Acetylcodeine,Precursor
SAM_012,SAM_088,0.667744599746565,Noscapine,Precursor
SAM_012,SAM_088,0.667744599746565,Phenacetin,Adulterant
SAM_015,SAM_043,0.6651134953925013,Meconine,Precursor
SAM_015,SAM_043,0.6651134953925013,Diacetamate,Unknown
SAM_015,SAM_043,0.6651134953925013,6-Monoacetylmorphine,Precursor
SAM_015,SAM_043,0.6651134953925013,Cocaine,Active
SAM_015,SAM_043,0.6651134953925013,Acetylcodeine,Precursor
SAM_057,SAM_058,0.6636859158766044,Diacetamate,Unknown
SAM_057,SAM_058,0.6636859158766044,Caffeine,Adulterant
SAM_057,SAM_058,0.6636859158766044,Heroin,Active
SAM_057,SAM_058,0.6636859158766044,Hydrocotarnine,Precursor
SAM_057,SAM_058,0.6636859158766044,Acetaminophen,Adulterant
SAM_049,SAM_052,0.6635802372672188,Meconine,Precursor
SAM_049,SAM_052,0.6635802372672188,Cocaine,Active
SAM_049,SAM_052,0.6635802372672188,Acetylcodeine,Precursor
SAM_049,SAM_052,0.6635802372672188,Heroin,Active
SAM_049,SAM_052,0.6635802372672188,Phenacetin,Adulterant
SAM_071,SAM_081,0.6625811591102192,Ecgonine methyl ester,Precursor
SAM_071,SAM_081,0.6625811591102192,Caffeine,Adulterant
SAM_071,SAM_081,0.6625811591102192,Cocaine,Active
SAM_071,SAM_081,0.6625811591102192,Acetylcodeine,Precursor
SAM_071,SAM_081,0.6625811591102192,Heroin,Active
SAM_071,SAM_081,0.6625811591102192,Phenacetin,Adulterant
SAM_057,SAM_067,0.6610678326510999,Diacetamate,Unknown
SAM_057,SAM_067,0.6610678326510999,Heroin,Active
SAM_057,SAM_067,0.6610678326510999,Acetaminophen,Adulterant
SAM_057,SAM_067,0.6610678326510999,Caffeine,Adulterant
SAM_012,SAM_027,0.6593314108486107,Meconine,Precursor
SAM_012,SAM_027,0.6593314108486107,Caffeine,Adulterant
SAM_012,SAM_027,0.6593314108486107,Cocaine,Active
SAM_012,SAM_027,0.6593314108486107,Acetylcodeine,Precursor
SAM_012,SAM_027,0.6593314108486107,Phenacetin,Adulterant
SAM_059,SAM_094,0.6578792122649686,Papaverine,Precursor
SAM_059,SAM_094,0.6578792122649686,Ecgonidine methyl ester,Precursor
SAM_059,SAM_094,0.6578792122649686,6-Monoacetylmorphine,Precursor
SAM_059,SAM_094,0.6578792122649686,Heroin,Active
SAM_059,SAM_094,0.6578792122649686,Phenacetin,Adulterant
SAM_011,SAM_046,0.65771577290728,Heroin,Active
SAM_011,SAM_046,0.65771577290728,Phenacetin,Adulterant
SAM_032,SAM_063,0.6568715511621543,Noscapine,Precursor
SAM_032,SAM_063,0.6568715511621543,Caffeine,Adulterant
SAM_032,SAM_063,0.6568715511621543,Hydrocotarnine,Precursor
SAM_032,SAM_063,0.6568715511621543,Tetramisole or levamisole,Adulterant
SAM_022,SAM_094,0.6563166668412697,Ecgonidine methyl ester,Precursor
SAM_022,SAM_094,0.6563166668412697,Cocaine,Active
SAM_022,SAM_094,0.6563166668412697,6-Monoacetylmorphine,Precursor
SAM_022,SAM_094,0.6563166668412697,Phenacetin,Adulterant
SAM_047,SAM_096,0.6552605528293362,Ecgonine methyl ester,Precursor
SAM_047,SAM_096,0.6552605528293362,Caffeine,Adulterant
SAM_047,SAM_096,0.6552605528293362,Cocaine,Active
SAM_047,SAM_096,0.6552605528293362,Acetylcodeine,Precursor
SAM_047,SAM_096,0.6552605528293362,Heroin,Active
SAM_047,SAM_096,0.6552605528293362,Acetaminophen,Adulterant
SAM_002,SAM_088,0.6547673402119782,Papaverine,Precursor
SAM_002,SAM_088,0.6547673402119782,Meconine,Precursor
SAM_002,SAM_088,0.6547673402119782,Cinnamoylcocaine,Precursor
SAM_002,SAM_088,0.6547673402119782,Phenacetin,Adulterant
SAM_012,SAM_059,0.654055333015746,Meconine,Precursor
SAM_012,SAM_059,0.654055333015746,Ecgonidine methyl ester,Precursor
SAM_012,SAM_059,0.654055333015746,Caffeine,Adulterant
SAM_012,SAM_059,0.654055333015746,Acetylcodeine,Precursor
SAM_012,SAM_059,0.654055333015746,Heroin,Active
SAM_012,SAM_059,0.654055333015746,Phenacetin,Adulterant
SAM_049,SAM_097,0.6540313175052704,Heroin,Active
SAM_049,SAM_097,0.6540313175052704,Caffeine,Adulterant
SAM_049,SAM_097,0.6540313175052704,Cocaine,Active
SAM_049,SAM_097,0.6540313175052704,Phenacetin,Adulterant
SAM_016,SAM_027,0.6538404309953841,Papaverine,Precursor
SAM_016,SAM_027,0.6538404309953841,Meconine,Precursor
SAM_016,SAM_027,0.6538404309953841,Caffeine,Adulterant
SAM_016,SAM_027,0.6538404309953841,Cocaine,Active
SAM_016,SAM_027,0.6538404309953841,Acetylcodeine,Precursor
SAM_016,SAM_027,0.6538404309953841,Phenacetin,Adulterant
SAM_013,SAM_050,0.6512560722343519,Ecgonidine methyl ester,Precursor
SAM_013,SAM_050,0.6512560722343519,Cocaine,Active
SAM_013,SAM_050,0.6512560722343519,Heroin,Active
SAM_013,SAM_050,0.6512560722343519,Phenacetin,Adulterant
SAM_013,SAM_050,0.6512560722343519,Triacetin,Unknown
SAM_047,SAM_100,0.6490793680503723,Ecgonine methyl ester,Precursor
SAM_047,SAM_100,0.6490793680503723,Cocaine,Active
SAM_047,SAM_100,0.6490793680503723,Acetylcodeine,Precursor
SAM_047,SAM_100,0.6490793680503723,Heroin,Active
SAM_047,SAM_100,0.6490793680503723,Acetaminophen,Adulterant
SAM_079,SAM_086,0.6481298624922661,Papaverine,Precursor
SAM_079,SAM_086,0.6481298624922661,Meconine,Precursor
SAM_079,SAM_086,0.6481298624922661,Ecgonidine methyl ester,Precursor
SAM_079,SAM_086,0.6481298624922661,Cocaine,Active
SAM_079,SAM_086,0.6481298624922661,Acetylcodeine,Precursor
SAM_079,SAM_086,0.6481298624922661,Heroin,Active
SAM_016,SAM_079,0.6480998839293344,Papaverine,Precursor
SAM_016,SAM_079,0.6480998839293344,Meconine,Precursor
SAM_016,SAM_079,0.6480998839293344,Acetylcodeine,Precursor
SAM_016,SAM_079,0.6480998839293344,Cocaine,Active
SAM_008,SAM_027,0.6474650599616495,Meconine,Precursor
SAM_008,SAM_027,0.6474650599616495,Caffeine,Adulterant
SAM_008,SAM_027,0.6474650599616495,Cocaine,Active
SAM_008,SAM_027,0.6474650599616495,Acetylcodeine,Precursor
SAM_008,SAM_027,0.6474650599616495,Phenacetin,Adulterant
SAM_027,SAM_092,0.6469604050757848,Meconine,Precursor
SAM_027,SAM_092,0.6469604050757848,Caffeine,Adulterant
SAM_027,SAM_092,0.6469604050757848,Cocaine,Active
SAM_027,SAM_092,0.6469604050757848,Acetylcodeine,Precursor
SAM_027,SAM_092,0.6469604050757848,Hydrocotarnine,Precursor
SAM_007,SAM_027,0.6469135889460295,Papaverine,Precursor
SAM_007,SAM_027,0.6469135889460295,Meconine,Precursor
SAM_007,SAM_027,0.6469135889460295,Caffeine,Adulterant
SAM_007,SAM_027,0.6469135889460295,Cocaine,Active
SAM_007,SAM_027,0.6469135889460295,Hydrocotarnine,Precursor
SAM_007,SAM_027,0.6469135889460295,Acetaminophen,Adulterant
SAM_059,SAM_090,0.6457812363054017,Papaverine,Precursor
SAM_059,SAM_090,0.6457812363054017,Meconine,Precursor
SAM_059,SAM_090,0.6457812363054017,Phenacetin,Adulterant
SAM_059,SAM_090,0.6457812363054017,Heroin,Active
SAM_004,SAM_061,0.6457315803841598,Diacetamate,Unknown
SAM_004,SAM_061,0.6457315803841598,Ecgonidine methyl ester,Precursor
SAM_004,SAM_061,0.6457315803841598,6-Monoacetylmorphine,Precursor
SAM_004,SAM_061,0.6457315803841598,Acetylthebaol,Precursor
SAM_004,SAM_061,0.6457315803841598,Heroin,Active
SAM_004,SAM_061,0.6457315803841598,Phenacetin,Adulterant
SAM_004,SAM_061,0.6457315803841598,Acetaminophen,Adulterant
SAM_060,SAM_076,0.645540051104138,Papaverine,Precursor
SAM_060,SAM_076,0.645540051104138,Acetaminophen,Adulterant
SAM_060,SAM_076,0.645540051104138,Diacetamate,Unknown
SAM_060,SAM_076,0.645540051104138,Cinnamoylcocaine,Precursor
SAM_002,SAM_090,0.645485678812366,Papaverine,Precursor
SAM_002,SAM_090,0.645485678812366,Meconine,Precursor
SAM_002,SAM_090,0.645485678812366,Phenacetin,Adulterant
SAM_047,SAM_071,0.6453465709263011,Ecgonine methyl ester,Precursor
SAM_047,SAM_071,0.6453465709263011,Caffeine,Adulterant
SAM_047,SAM_071,0.6453465709263011,Cocaine,Active
SAM_047,SAM_071,0.6453465709263011,Acetylcodeine,Precursor
SAM_047,SAM_071,0.6453465709263011,Heroin,Active
SAM_047,SAM_071,0.6453465709263011,Acetaminophen,Adulterant
SAM_044,SAM_069,0.6450898359751396,Meconine,Precursor
SAM_044,SAM_069,0.6450898359751396,Acetaminophen,Adulterant
SAM_044,SAM_069,0.6450898359751396,Cocaine,Active
SAM_044,SAM_069,0.6450898359751396,Heroin,Active
SAM_023,SAM_090,0.6446021270600473,Diacetamate,Unknown
SAM_023,SAM_090,0.6446021270600473,Meconine,Precursor
SAM_023,SAM_090,0.6446021270600473,Phenacetin,Adulterant
SAM_054,SAM_079,0.643707519562144,Papaverine,Precursor
SAM_054,SAM_079,0.643707519562144,Meconine,Precursor
SAM_054,SAM_079,0.643707519562144,Ecgonine methyl ester,Precursor
SAM_054,SAM_079,0.643707519562144,Ecgonidine methyl ester,Precursor
SAM_054,SAM_079,0.643707519562144,6-Monoacetylmorphine,Precursor
SAM_054,SAM_079,0.643707519562144,Acetylcodeine,Precursor
SAM_054,SAM_079,0.643707519562144,Heroin,Active
SAM_022,SAM_069,0.6419545394014629,Ecgonidine methyl ester,Precursor
SAM_022,SAM_069,0.6419545394014629,Cocaine,Active
SAM_022,SAM_069,0.6419545394014629,6-Monoacetylmorphine,Precursor
SAM_022,SAM_069,0.6419545394014629,Phenacetin,Adulterant
SAM_079,SAM_096,0.6411856333087296,Meconine,Precursor
SAM_079,SAM_096,0.6411856333087296,Ecgonine methyl ester,Precursor
SAM_079,SAM_096,0.6411856333087296,Cocaine,Active
SAM_079,SAM_096,0.6411856333087296,Acetylcodeine,Precursor
SAM_079,SAM_096,0.6411856333087296,Heroin,Active
SAM_021,SAM_049,0.6410287861011394,Meconine,Precursor
SAM_021,SAM_049,0.6410287861011394,Cocaine,Active
SAM_021,SAM_049,0.6410287861011394,Phenacetin,Adulterant
SAM_017,SAM_074,0.6406980201903489,Caffeine,Adulterant
SAM_017,SAM_074,0.6406980201903489,Cocaine,Active
SAM_017,SAM_074,0.6406980201903489,Noscapine,Precursor
SAM_017,SAM_074,0.6406980201903489,Heroin,Active
SAM_017,SAM_074,0.6406980201903489,Acetaminophen,Adulterant
SAM_028,SAM_086,0.6373481456701804,Acetylcodeine,Precursor
SAM_028,SAM_086,0.6373481456701804,Meconine,Precursor
SAM_028,SAM_086,0.6373481456701804,Ecgonidine methyl ester,Precursor
SAM_028,SAM_086,0.6373481456701804,Caffeine,Adulterant
SAM_044,SAM_051,0.6370819942264139,Meconine,Precursor
SAM_044,SAM_051,0.6370819942264139,Acetaminophen,Adulterant
SAM_044,SAM_051,0.6370819942264139,Heroin,Active
SAM_012,SAM_028,0.6366269831536816,Acetylcodeine,Precursor
SAM_012,SAM_028,0.6366269831536816,Meconine,Precursor
SAM_012,SAM_028,0.6366269831536816,Ecgonidine methyl ester,Precursor
SAM_012,SAM_028,0.6366269831536816,Caffeine,Adulterant
SAM_049,SAM_059,0.6341608404508381,Meconine,Precursor
SAM_049,SAM_059,0.6341608404508381,Caffeine,Adulterant
SAM_049,SAM_059,0.6341608404508381,Acetylcodeine,Precursor
SAM_049,SAM_059,0.6341608404508381,Heroin,Active
SAM_049,SAM_059,0.6341608404508381,Phenacetin,Adulterant
SAM_035,SAM_069,0.6324022089828332,Acetaminophen,Adulterant
SAM_035,SAM_069,0.6324022089828332,Ecgonidine methyl ester,Precursor
SAM_035,SAM_069,0.6324022089828332,Cocaine,Active
SAM_035,SAM_069,0.6324022089828332,Phenacetin,Adulterant
SAM_001,SAM_086,0.6322085023262707,Papaverine,Precursor
SAM_001,SAM_086,0.6322085023262707,Meconine,Precursor
SAM_001,SAM_086,0.6322085023262707,Ecgonidine methyl ester,Precursor
SAM_001,SAM_086,0.6322085023262707,Caffeine,Adulterant
SAM_001,SAM_086,0.6322085023262707,Acetylcodeine,Precursor
SAM_001,SAM_086,0.6322085023262707,Heroin,Active
SAM_054,SAM_059,0.631215907502027,Papaverine,Precursor
SAM_054,SAM_059,0.631215907502027,Meconine,Precursor
SAM_054,SAM_059,0.631215907502027,Ecgonidine methyl ester,Precursor
SAM_054,SAM_059,0.631215907502027,6-Monoacetylmorphine,Precursor
SAM_054,SAM_059,0.631215907502027,Acetylcodeine,Precursor
SAM_054,SAM_059,0.631215907502027,Heroin,Active
SAM_054,SAM_059,0.631215907502027,Phenacetin,Adulterant
SAM_038,SAM_090,0.630878247524332,Papaverine,Precursor
SAM_038,SAM_090,0.630878247524332,Heroin,Active
SAM_038,SAM_090,0.630878247524332,Diacetamate,Unknown
SAM_038,SAM_090,0.630878247524332,Phenacetin,Adulterant
SAM_036,SAM_053,0.6302496643742529,Papaverine,Precursor
SAM_036,SAM_053,0.6302496643742529,Cocaine,Active
SAM_054,SAM_089,0.6299264310774603,Papaverine,Precursor
SAM_054,SAM_089,0.6299264310774603,Meconine,Precursor
SAM_054,SAM_089,0.6299264310774603,Ecgonine methyl ester,Precursor
SAM_054,SAM_089,0.6299264310774603,Ecgonidine methyl ester,Precursor
SAM_054,SAM_089,0.6299264310774603,6-Monoacetylmorphine,Precursor
SAM_054,SAM_089,0.6299264310774603,Hydrocotarnine,Precursor
SAM_054,SAM_089,0.6299264310774603,Phenacetin,Adulterant
SAM_054,SAM_089,0.6299264310774603,Triacetin,Unknown
SAM_012,SAM_081,0.6294716466580524,Diacetamate,Unknown
SAM_012,SAM_081,0.6294716466580524,Caffeine,Adulterant
SAM_012,SAM_081,0.6294716466580524,Cocaine,Active
SAM_012,SAM_081,0.6294716466580524,Acetylcodeine,Precursor
SAM_012,SAM_081,0.6294716466580524,Heroin,Active
SAM_012,SAM_081,0.6294716466580524,Phenacetin,Adulterant
SAM_028,SAM_078,0.627481021219007,Acetylcodeine,Precursor
SAM_028,SAM_078,0.627481021219007,Meconine,Precursor
SAM_028,SAM_078,0.627481021219007,Caffeine,Adulterant
SAM_001,SAM_051,0.6256777995751577,Meconine,Precursor
SAM_001,SAM_051,0.6256777995751577,Ecgonidine methyl ester,Precursor
SAM_001,SAM_051,0.6256777995751577,Acetylcodeine,Precursor
SAM_001,SAM_051,0.6256777995751577,Heroin,Active
SAM_001,SAM_051,0.6256777995751577,Acetaminophen,Adulterant
SAM_013,SAM_094,0.6251901957048108,Heroin,Active
SAM_013,SAM_094,0.6251901957048108,Ecgonidine methyl ester,Precursor
SAM_013,SAM_094,0.6251901957048108,Cocaine,Active
SAM_013,SAM_094,0.6251901957048108,Phenacetin,Adulterant
SAM_012,SAM_052,0.624513176680684,Meconine,Precursor
SAM_012,SAM_052,0.624513176680684,Cocaine,Active
SAM_012,SAM_052,0.624513176680684,Acetylcodeine,Precursor
SAM_012,SAM_052,0.624513176680684,Noscapine,Precursor
SAM_012,SAM_052,0.624513176680684,Heroin,Active
SAM_012,SAM_052,0.624513176680684,Phenacetin,Adulterant
